status,age_group,region,region_cat,comorbidity_yes,comorbidity_no,comorbidity_tot_non_miss,comorbidity_prop,comorbidity_lb,comorbidity_ub,comorbidity,year
1,<=9,Local,North East,0,5005,5005,0,0,74,liver,2014
1,10-14,Local,North East,0,2989,2989,0,0,123,liver,2014
1,15-19,Local,North East,<5,suppressed,3150,95,20,278,liver,2014
1,20-24,Local,North East,<5,suppressed,3473,58,7,208,liver,2014
1,25-29,Local,North East,<5,suppressed,3730,107,29,274,liver,2014
1,30-34,Local,North East,<5,suppressed,3505,57,7,206,liver,2014
1,35-39,Local,North East,9,3134,3143,286,131,543,liver,2014
1,40-44,Local,North East,13,3642,3655,356,190,607,liver,2014
1,45-49,Local,North East,19,4076,4095,464,280,724,liver,2014
1,50-54,Local,North East,21,4126,4147,506,314,773,liver,2014
1,55-59,Local,North East,27,3684,3711,728,480,1057,liver,2014
1,60-64,Local,North East,20,3287,3307,605,370,932,liver,2014
1,65-69,Local,North East,22,3182,3204,687,431,1038,liver,2014
1,70-74,Local,North East,19,2319,2338,813,490,1266,liver,2014
1,75-79,Local,North East,10,2049,2059,486,233,891,liver,2014
1,80-84,Local,North East,11,1419,1430,769,385,1372,liver,2014
1,85-89,Local,North East,7,844,851,823,331,1687,liver,2014
1,90-99,Local,North East,0,427,427,0,0,860,liver,2014
1,<=9,Local,North West,<5,suppressed,44004,9,2,23,liver,2014
1,10-14,Local,North West,8,26341,26349,30,13,60,liver,2014
1,15-19,Local,North West,5,26249,26254,19,6,44,liver,2014
1,20-24,Local,North West,12,26522,26534,45,23,79,liver,2014
1,25-29,Local,North West,18,29282,29300,61,36,97,liver,2014
1,30-34,Local,North West,37,29836,29873,124,87,171,liver,2014
1,35-39,Local,North West,59,28093,28152,210,160,270,liver,2014
1,40-44,Local,North West,97,33852,33949,286,232,348,liver,2014
1,45-49,Local,North West,138,36334,36472,378,318,447,liver,2014
1,50-54,Local,North West,136,33972,34108,399,335,471,liver,2014
1,55-59,Local,North West,133,29012,29145,456,382,541,liver,2014
1,60-64,Local,North West,135,26905,27040,499,419,591,liver,2014
1,65-69,Local,North West,147,27830,27977,525,444,617,liver,2014
1,70-74,Local,North West,124,20003,20127,616,513,734,liver,2014
1,75-79,Local,North West,105,16231,16336,643,526,778,liver,2014
1,80-84,Local,North West,50,11387,11437,437,325,576,liver,2014
1,85-89,Local,North West,26,6504,6530,398,260,583,liver,2014
1,90-99,Local,North West,10,3568,3578,279,134,513,liver,2014
1,<=9,Local,Yorkshire & The Humber,0,3458,3458,0,0,107,liver,2014
1,10-14,Local,Yorkshire & The Humber,0,2048,2048,0,0,180,liver,2014
1,15-19,Local,Yorkshire & The Humber,<5,suppressed,2036,98,12,354,liver,2014
1,20-24,Local,Yorkshire & The Humber,<5,suppressed,2072,48,1,269,liver,2014
1,25-29,Local,Yorkshire & The Humber,0,2078,2078,0,0,177,liver,2014
1,30-34,Local,Yorkshire & The Humber,<5,suppressed,2084,48,1,267,liver,2014
1,35-39,Local,Yorkshire & The Humber,<5,suppressed,2055,195,53,498,liver,2014
1,40-44,Local,Yorkshire & The Humber,5,2614,2619,191,62,445,liver,2014
1,45-49,Local,Yorkshire & The Humber,<5,suppressed,2899,138,38,353,liver,2014
1,50-54,Local,Yorkshire & The Humber,14,2673,2687,521,285,873,liver,2014
1,55-59,Local,Yorkshire & The Humber,5,2243,2248,222,72,518,liver,2014
1,60-64,Local,Yorkshire & The Humber,8,2321,2329,343,148,676,liver,2014
1,65-69,Local,Yorkshire & The Humber,6,2229,2235,268,99,583,liver,2014
1,70-74,Local,Yorkshire & The Humber,7,1582,1589,441,177,906,liver,2014
1,75-79,Local,Yorkshire & The Humber,<5,suppressed,1337,299,82,764,liver,2014
1,80-84,Local,Yorkshire & The Humber,<5,suppressed,1007,199,24,716,liver,2014
1,85-89,Local,Yorkshire & The Humber,<5,suppressed,508,197,5,1092,liver,2014
1,90-99,Local,Yorkshire & The Humber,0,255,255,0,0,1436,liver,2014
1,<=9,Local,East Midlands,0,834,834,0,0,441,liver,2014
1,10-14,Local,East Midlands,0,477,477,0,0,770,liver,2014
1,15-19,Local,East Midlands,<5,suppressed,502,199,5,1105,liver,2014
1,20-24,Local,East Midlands,0,525,525,0,0,700,liver,2014
1,25-29,Local,East Midlands,0,487,487,0,0,755,liver,2014
1,30-34,Local,East Midlands,<5,suppressed,524,191,5,1059,liver,2014
1,35-39,Local,East Midlands,<5,suppressed,489,204,5,1134,liver,2014
1,40-44,Local,East Midlands,0,574,574,0,0,641,liver,2014
1,45-49,Local,East Midlands,<5,suppressed,624,481,99,1399,liver,2014
1,50-54,Local,East Midlands,<5,suppressed,622,161,4,892,liver,2014
1,55-59,Local,East Midlands,<5,suppressed,494,202,5,1123,liver,2014
1,60-64,Local,East Midlands,6,523,529,1134,417,2452,liver,2014
1,65-69,Local,East Midlands,<5,suppressed,492,203,5,1127,liver,2014
1,70-74,Local,East Midlands,<5,suppressed,339,1180,322,2993,liver,2014
1,75-79,Local,East Midlands,<5,suppressed,271,369,9,2039,liver,2014
1,80-84,Local,East Midlands,0,163,163,0,0,2238,liver,2014
1,85-89,Local,East Midlands,0,99,99,0,0,3658,liver,2014
1,90-99,Local,East Midlands,0,50,50,0,0,7112,liver,2014
1,<=9,Local,West Midlands,6,37317,37323,16,6,35,liver,2014
1,10-14,Local,West Midlands,<5,suppressed,23195,17,5,44,liver,2014
1,15-19,Local,West Midlands,7,22551,22558,31,12,64,liver,2014
1,20-24,Local,West Midlands,8,21568,21576,37,16,73,liver,2014
1,25-29,Local,West Midlands,11,23593,23604,47,23,83,liver,2014
1,30-34,Local,West Midlands,14,24092,24106,58,32,97,liver,2014
1,35-39,Local,West Midlands,21,23289,23310,90,56,138,liver,2014
1,40-44,Local,West Midlands,44,28753,28797,153,111,205,liver,2014
1,45-49,Local,West Midlands,72,30646,30718,234,183,295,liver,2014
1,50-54,Local,West Midlands,76,28717,28793,264,208,330,liver,2014
1,55-59,Local,West Midlands,98,24342,24440,401,326,488,liver,2014
1,60-64,Local,West Midlands,102,23215,23317,437,357,531,liver,2014
1,65-69,Local,West Midlands,98,23567,23665,414,336,504,liver,2014
1,70-74,Local,West Midlands,86,17783,17869,481,385,594,liver,2014
1,75-79,Local,West Midlands,54,14808,14862,363,273,474,liver,2014
1,80-84,Local,West Midlands,31,10839,10870,285,194,405,liver,2014
1,85-89,Local,West Midlands,12,6539,6551,183,95,320,liver,2014
1,90-99,Local,West Midlands,<5,suppressed,3789,106,29,270,liver,2014
1,<=9,Local,East of England,<5,suppressed,25639,16,4,40,liver,2014
1,10-14,Local,East of England,<5,suppressed,15114,7,0,37,liver,2014
1,15-19,Local,East of England,<5,suppressed,13796,29,8,74,liver,2014
1,20-24,Local,East of England,6,12348,12354,49,18,106,liver,2014
1,25-29,Local,East of England,23,14886,14909,154,98,231,liver,2014
1,30-34,Local,East of England,23,16764,16787,137,87,206,liver,2014
1,35-39,Local,East of England,30,17255,17285,174,117,248,liver,2014
1,40-44,Local,East of England,32,19136,19168,167,114,236,liver,2014
1,45-49,Local,East of England,57,19826,19883,287,217,371,liver,2014
1,50-54,Local,East of England,47,18305,18352,256,188,340,liver,2014
1,55-59,Local,East of England,64,15100,15164,422,325,539,liver,2014
1,60-64,Local,East of England,72,13369,13441,536,419,674,liver,2014
1,65-69,Local,East of England,62,13169,13231,469,359,600,liver,2014
1,70-74,Local,East of England,44,9153,9197,478,348,642,liver,2014
1,75-79,Local,East of England,24,8187,8211,292,187,435,liver,2014
1,80-84,Local,East of England,29,6473,6502,446,299,640,liver,2014
1,85-89,Local,East of England,16,4059,4075,393,225,637,liver,2014
1,90-99,Local,East of England,6,2391,2397,250,92,544,liver,2014
1,<=9,Local,South West,<5,suppressed,29015,3,0,19,liver,2014
1,10-14,Local,South West,<5,suppressed,17606,17,4,50,liver,2014
1,15-19,Local,South West,9,19320,19329,47,21,88,liver,2014
1,20-24,Local,South West,6,24354,24360,25,9,54,liver,2014
1,25-29,Local,South West,11,20665,20676,53,27,95,liver,2014
1,30-34,Local,South West,21,20688,20709,101,63,155,liver,2014
1,35-39,Local,South West,34,19582,19616,173,120,242,liver,2014
1,40-44,Local,South West,47,22791,22838,206,151,274,liver,2014
1,45-49,Local,South West,76,25171,25247,301,237,377,liver,2014
1,50-54,Local,South West,108,24078,24186,447,366,539,liver,2014
1,55-59,Local,South West,93,21232,21325,436,352,534,liver,2014
1,60-64,Local,South West,103,20418,20521,502,410,608,liver,2014
1,65-69,Local,South West,106,21062,21168,501,410,605,liver,2014
1,70-74,Local,South West,80,15729,15809,506,401,629,liver,2014
1,75-79,Local,South West,45,12752,12797,352,257,470,liver,2014
1,80-84,Local,South West,28,9994,10022,279,186,404,liver,2014
1,85-89,Local,South West,9,6494,6503,138,63,263,liver,2014
1,90-99,Local,South West,<5,suppressed,4062,98,27,252,liver,2014
1,<=9,Local,South Central,6,47489,47495,13,5,27,liver,2014
1,10-14,Local,South Central,6,29776,29782,20,7,44,liver,2014
1,15-19,Local,South Central,9,27740,27749,32,15,62,liver,2014
1,20-24,Local,South Central,15,24088,24103,62,35,103,liver,2014
1,25-29,Local,South Central,22,27430,27452,80,50,121,liver,2014
1,30-34,Local,South Central,27,30773,30800,88,58,128,liver,2014
1,35-39,Local,South Central,33,32259,32292,102,70,143,liver,2014
1,40-44,Local,South Central,52,37478,37530,139,103,182,liver,2014
1,45-49,Local,South Central,92,39724,39816,231,186,283,liver,2014
1,50-54,Local,South Central,109,36395,36504,299,245,360,liver,2014
1,55-59,Local,South Central,136,30639,30775,442,371,523,liver,2014
1,60-64,Local,South Central,129,28285,28414,454,379,539,liver,2014
1,65-69,Local,South Central,138,29513,29651,465,391,550,liver,2014
1,70-74,Local,South Central,96,21103,21199,453,367,553,liver,2014
1,75-79,Local,South Central,77,16822,16899,456,360,569,liver,2014
1,80-84,Local,South Central,46,12805,12851,358,262,477,liver,2014
1,85-89,Local,South Central,17,7940,7957,214,125,342,liver,2014
1,90-99,Local,South Central,6,4882,4888,123,45,267,liver,2014
1,<=9,Local,London,9,53823,53832,17,8,32,liver,2014
1,10-14,Local,London,<5,suppressed,30391,13,4,34,liver,2014
1,15-19,Local,London,9,27934,27943,32,15,61,liver,2014
1,20-24,Local,London,26,28998,29024,90,59,131,liver,2014
1,25-29,Local,London,31,36729,36760,84,57,120,liver,2014
1,30-34,Local,London,41,41927,41968,98,70,133,liver,2014
1,35-39,Local,London,82,40364,40446,203,161,252,liver,2014
1,40-44,Local,London,91,40431,40522,225,181,276,liver,2014
1,45-49,Local,London,147,40210,40357,364,308,428,liver,2014
1,50-54,Local,London,165,35632,35797,461,393,537,liver,2014
1,55-59,Local,London,146,28504,28650,510,430,599,liver,2014
1,60-64,Local,London,143,23360,23503,608,513,716,liver,2014
1,65-69,Local,London,128,21789,21917,584,487,694,liver,2014
1,70-74,Local,London,78,15575,15653,498,394,622,liver,2014
1,75-79,Local,London,70,13338,13408,522,407,659,liver,2014
1,80-84,Local,London,37,10358,10395,356,251,490,liver,2014
1,85-89,Local,London,13,6368,6381,204,109,348,liver,2014
1,90-99,Local,London,8,3717,3725,215,93,423,liver,2014
1,<=9,Local,South East Coast,5,47022,47027,11,3,25,liver,2014
1,10-14,Local,South East Coast,<5,suppressed,29249,14,4,35,liver,2014
1,15-19,Local,South East Coast,<5,suppressed,26740,15,4,38,liver,2014
1,20-24,Local,South East Coast,8,24124,24132,33,14,65,liver,2014
1,25-29,Local,South East Coast,15,25978,25993,58,32,95,liver,2014
1,30-34,Local,South East Coast,18,27720,27738,65,38,103,liver,2014
1,35-39,Local,South East Coast,31,28994,29025,107,73,152,liver,2014
1,40-44,Local,South East Coast,46,35146,35192,131,96,174,liver,2014
1,45-49,Local,South East Coast,82,37633,37715,217,173,270,liver,2014
1,50-54,Local,South East Coast,84,34745,34829,241,192,299,liver,2014
1,55-59,Local,South East Coast,113,29819,29932,378,311,454,liver,2014
1,60-64,Local,South East Coast,114,27242,27356,417,344,500,liver,2014
1,65-69,Local,South East Coast,126,28977,29103,433,361,515,liver,2014
1,70-74,Local,South East Coast,87,20443,20530,424,340,522,liver,2014
1,75-79,Local,South East Coast,59,17286,17345,340,259,439,liver,2014
1,80-84,Local,South East Coast,54,13153,13207,409,307,533,liver,2014
1,85-89,Local,South East Coast,23,8060,8083,285,180,427,liver,2014
1,90-99,Local,South East Coast,5,4712,4717,106,34,247,liver,2014
1,<=9,National,Northern Ireland,<5,suppressed,20838,14,3,42,liver,2014
1,10-14,National,Northern Ireland,<5,suppressed,13401,22,5,65,liver,2014
1,15-19,National,Northern Ireland,<5,suppressed,12995,31,8,79,liver,2014
1,20-24,National,Northern Ireland,<5,suppressed,12818,8,0,43,liver,2014
1,25-29,National,Northern Ireland,6,14519,14525,41,15,90,liver,2014
1,30-34,National,Northern Ireland,12,14864,14876,81,42,141,liver,2014
1,35-39,National,Northern Ireland,16,14043,14059,114,65,185,liver,2014
1,40-44,National,Northern Ireland,27,15349,15376,176,116,255,liver,2014
1,45-49,National,Northern Ireland,56,16079,16135,347,262,450,liver,2014
1,50-54,National,Northern Ireland,60,15205,15265,393,300,506,liver,2014
1,55-59,National,Northern Ireland,85,13285,13370,636,508,786,liver,2014
1,60-64,National,Northern Ireland,72,11474,11546,624,488,785,liver,2014
1,65-69,National,Northern Ireland,77,10485,10562,729,576,910,liver,2014
1,70-74,National,Northern Ireland,65,8278,8343,779,602,992,liver,2014
1,75-79,National,Northern Ireland,36,6234,6270,574,402,794,liver,2014
1,80-84,National,Northern Ireland,18,4608,4626,389,231,614,liver,2014
1,85-89,National,Northern Ireland,10,2664,2674,374,179,687,liver,2014
1,90-99,National,Northern Ireland,<5,suppressed,1441,278,76,709,liver,2014
1,<=9,National,Scotland,19,74977,74996,25,15,40,liver,2014
1,10-14,National,Scotland,17,45384,45401,37,22,60,liver,2014
1,15-19,National,Scotland,14,45099,45113,31,17,52,liver,2014
1,20-24,National,Scotland,37,47599,47636,78,55,107,liver,2014
1,25-29,National,Scotland,98,52193,52291,187,152,228,liver,2014
1,30-34,National,Scotland,177,55172,55349,320,274,370,liver,2014
1,35-39,National,Scotland,245,51332,51577,475,418,538,liver,2014
1,40-44,National,Scotland,272,59982,60254,451,399,508,liver,2014
1,45-49,National,Scotland,389,66046,66435,586,529,647,liver,2014
1,50-54,National,Scotland,386,62807,63193,611,552,675,liver,2014
1,55-59,National,Scotland,406,55622,56028,725,656,798,liver,2014
1,60-64,National,Scotland,387,50014,50401,768,693,848,liver,2014
1,65-69,National,Scotland,396,45368,45764,865,782,954,liver,2014
1,70-74,National,Scotland,272,33729,34001,800,708,900,liver,2014
1,75-79,National,Scotland,199,26765,26964,738,639,848,liver,2014
1,80-84,National,Scotland,108,18925,19033,567,466,685,liver,2014
1,85-89,National,Scotland,47,10567,10614,443,326,588,liver,2014
1,90-99,National,Scotland,16,5103,5119,313,179,507,liver,2014
1,<=9,National,Wales,8,68201,68209,12,5,23,liver,2014
1,10-14,National,Wales,5,40945,40950,12,4,28,liver,2014
1,15-19,National,Wales,7,39769,39776,18,7,36,liver,2014
1,20-24,National,Wales,16,43162,43178,37,21,60,liver,2014
1,25-29,National,Wales,13,46298,46311,28,15,48,liver,2014
1,30-34,National,Wales,33,47204,47237,70,48,98,liver,2014
1,35-39,National,Wales,61,44430,44491,137,105,176,liver,2014
1,40-44,National,Wales,105,51454,51559,204,167,246,liver,2014
1,45-49,National,Wales,145,55108,55253,262,221,309,liver,2014
1,50-54,National,Wales,187,52960,53147,352,303,406,liver,2014
1,55-59,National,Wales,246,46961,47207,521,458,590,liver,2014
1,60-64,National,Wales,253,45487,45740,553,487,625,liver,2014
1,65-69,National,Wales,246,46311,46557,528,465,598,liver,2014
1,70-74,National,Wales,192,34304,34496,557,481,641,liver,2014
1,75-79,National,Wales,127,27460,27587,460,384,548,liver,2014
1,80-84,National,Wales,74,19574,19648,377,296,473,liver,2014
1,85-89,National,Wales,38,12046,12084,314,223,431,liver,2014
1,90-99,National,Wales,12,7121,7133,168,87,294,liver,2014
1,<=9,Local,North East,9,4996,5005,180,82,341,heart,2014
1,10-14,Local,North East,9,2980,2989,301,138,571,heart,2014
1,15-19,Local,North East,9,3141,3150,286,131,542,heart,2014
1,20-24,Local,North East,6,3467,3473,173,63,376,heart,2014
1,25-29,Local,North East,<5,suppressed,3730,54,6,194,heart,2014
1,30-34,Local,North East,9,3496,3505,257,117,487,heart,2014
1,35-39,Local,North East,10,3133,3143,318,153,584,heart,2014
1,40-44,Local,North East,20,3635,3655,547,335,844,heart,2014
1,45-49,Local,North East,61,4034,4095,1490,1141,1909,heart,2014
1,50-54,Local,North East,118,4029,4147,2845,2361,3398,heart,2014
1,55-59,Local,North East,186,3525,3711,5012,4332,5764,heart,2014
1,60-64,Local,North East,306,3001,3307,9253,8287,10292,heart,2014
1,65-69,Local,North East,392,2812,3204,12235,11119,13420,heart,2014
1,70-74,Local,North East,434,1904,2338,18563,17006,20199,heart,2014
1,75-79,Local,North East,506,1553,2059,24575,22728,26494,heart,2014
1,80-84,Local,North East,425,1005,1430,29720,27360,32164,heart,2014
1,85-89,Local,North East,285,566,851,33490,30322,36773,heart,2014
1,90-99,Local,North East,142,285,427,33255,28799,37945,heart,2014
1,<=9,Local,North West,57,43947,44004,130,98,168,heart,2014
1,10-14,Local,North West,37,26312,26349,140,99,194,heart,2014
1,15-19,Local,North West,60,26194,26254,229,174,294,heart,2014
1,20-24,Local,North West,58,26476,26534,219,166,282,heart,2014
1,25-29,Local,North West,53,29247,29300,181,136,237,heart,2014
1,30-34,Local,North West,65,29808,29873,218,168,277,heart,2014
1,35-39,Local,North West,84,28068,28152,298,238,369,heart,2014
1,40-44,Local,North West,263,33686,33949,775,684,874,heart,2014
1,45-49,Local,North West,569,35903,36472,1560,1435,1693,heart,2014
1,50-54,Local,North West,1124,32984,34108,3295,3108,3490,heart,2014
1,55-59,Local,North West,1820,27325,29145,6245,5970,6529,heart,2014
1,60-64,Local,North West,2517,24523,27040,9308,8965,9661,heart,2014
1,65-69,Local,North West,3699,24278,27977,13222,12827,13624,heart,2014
1,70-74,Local,North West,3961,16166,20127,19680,19133,20236,heart,2014
1,75-79,Local,North West,4169,12167,16336,25520,24853,26196,heart,2014
1,80-84,Local,North West,3561,7876,11437,31136,30288,31994,heart,2014
1,85-89,Local,North West,2280,4250,6530,34916,33759,36086,heart,2014
1,90-99,Local,North West,1162,2416,3578,32476,30943,34038,heart,2014
1,<=9,Local,Yorkshire & The Humber,5,3453,3458,145,47,337,heart,2014
1,10-14,Local,Yorkshire & The Humber,<5,suppressed,2048,49,1,272,heart,2014
1,15-19,Local,Yorkshire & The Humber,0,2036,2036,0,0,181,heart,2014
1,20-24,Local,Yorkshire & The Humber,<5,suppressed,2072,145,30,423,heart,2014
1,25-29,Local,Yorkshire & The Humber,<5,suppressed,2078,48,1,268,heart,2014
1,30-34,Local,Yorkshire & The Humber,<5,suppressed,2084,96,12,346,heart,2014
1,35-39,Local,Yorkshire & The Humber,<5,suppressed,2055,146,30,426,heart,2014
1,40-44,Local,Yorkshire & The Humber,24,2595,2619,916,588,1360,heart,2014
1,45-49,Local,Yorkshire & The Humber,44,2855,2899,1518,1105,2032,heart,2014
1,50-54,Local,Yorkshire & The Humber,77,2610,2687,2866,2268,3569,heart,2014
1,55-59,Local,Yorkshire & The Humber,146,2102,2248,6495,5511,7594,heart,2014
1,60-64,Local,Yorkshire & The Humber,223,2106,2329,9575,8410,10843,heart,2014
1,65-69,Local,Yorkshire & The Humber,312,1923,2235,13960,12549,15466,heart,2014
1,70-74,Local,Yorkshire & The Humber,341,1248,1589,21460,19464,23562,heart,2014
1,75-79,Local,Yorkshire & The Humber,331,1006,1337,24757,22464,27162,heart,2014
1,80-84,Local,Yorkshire & The Humber,283,724,1007,28103,25345,30990,heart,2014
1,85-89,Local,Yorkshire & The Humber,158,350,508,31102,27099,35328,heart,2014
1,90-99,Local,Yorkshire & The Humber,96,159,255,37647,31679,43906,heart,2014
1,<=9,Local,East Midlands,0,834,834,0,0,441,heart,2014
1,10-14,Local,East Midlands,<5,suppressed,477,210,5,1162,heart,2014
1,15-19,Local,East Midlands,<5,suppressed,502,398,48,1432,heart,2014
1,20-24,Local,East Midlands,<5,suppressed,525,190,5,1057,heart,2014
1,25-29,Local,East Midlands,0,487,487,0,0,755,heart,2014
1,30-34,Local,East Midlands,<5,suppressed,524,191,5,1059,heart,2014
1,35-39,Local,East Midlands,<5,suppressed,489,204,5,1134,heart,2014
1,40-44,Local,East Midlands,11,563,574,1916,960,3403,heart,2014
1,45-49,Local,East Midlands,24,600,624,3846,2480,5669,heart,2014
1,50-54,Local,East Midlands,21,601,622,3376,2102,5115,heart,2014
1,55-59,Local,East Midlands,31,463,494,6275,4303,8789,heart,2014
1,60-64,Local,East Midlands,47,482,529,8885,6601,11640,heart,2014
1,65-69,Local,East Midlands,69,423,492,14024,11078,17411,heart,2014
1,70-74,Local,East Midlands,60,279,339,17699,13787,22187,heart,2014
1,75-79,Local,East Midlands,80,191,271,29520,24156,35339,heart,2014
1,80-84,Local,East Midlands,53,110,163,32515,25397,40283,heart,2014
1,85-89,Local,East Midlands,34,65,99,34343,25088,44563,heart,2014
1,90-99,Local,East Midlands,25,25,50,50000,35527,64473,heart,2014
1,<=9,Local,West Midlands,56,37267,37323,150,113,195,heart,2014
1,10-14,Local,West Midlands,24,23171,23195,103,66,154,heart,2014
1,15-19,Local,West Midlands,27,22531,22558,120,79,174,heart,2014
1,20-24,Local,West Midlands,38,21538,21576,176,125,242,heart,2014
1,25-29,Local,West Midlands,40,23564,23604,169,121,231,heart,2014
1,30-34,Local,West Midlands,44,24062,24106,183,133,245,heart,2014
1,35-39,Local,West Midlands,64,23246,23310,275,212,350,heart,2014
1,40-44,Local,West Midlands,157,28640,28797,545,463,637,heart,2014
1,45-49,Local,West Midlands,353,30365,30718,1149,1033,1275,heart,2014
1,50-54,Local,West Midlands,651,28142,28793,2261,2092,2439,heart,2014
1,55-59,Local,West Midlands,1066,23374,24440,4362,4109,4625,heart,2014
1,60-64,Local,West Midlands,1561,21756,23317,6695,6377,7023,heart,2014
1,65-69,Local,West Midlands,2298,21367,23665,9711,9336,10095,heart,2014
1,70-74,Local,West Midlands,2618,15251,17869,14651,14136,15178,heart,2014
1,75-79,Local,West Midlands,2919,11943,14862,19641,19005,20289,heart,2014
1,80-84,Local,West Midlands,2820,8050,10870,25943,25121,26778,heart,2014
1,85-89,Local,West Midlands,1915,4636,6551,29232,28133,30350,heart,2014
1,90-99,Local,West Midlands,1041,2748,3789,27474,26058,28926,heart,2014
1,<=9,Local,East of England,33,25606,25639,129,89,181,heart,2014
1,10-14,Local,East of England,10,15104,15114,66,32,122,heart,2014
1,15-19,Local,East of England,32,13764,13796,232,159,327,heart,2014
1,20-24,Local,East of England,24,12330,12354,194,125,289,heart,2014
1,25-29,Local,East of England,15,14894,14909,101,56,166,heart,2014
1,30-34,Local,East of England,26,16761,16787,155,101,227,heart,2014
1,35-39,Local,East of England,39,17246,17285,226,160,308,heart,2014
1,40-44,Local,East of England,87,19081,19168,454,364,560,heart,2014
1,45-49,Local,East of England,234,19649,19883,1177,1032,1337,heart,2014
1,50-54,Local,East of England,411,17941,18352,2240,2030,2464,heart,2014
1,55-59,Local,East of England,633,14531,15164,4174,3862,4505,heart,2014
1,60-64,Local,East of England,895,12546,13441,6659,6243,7093,heart,2014
1,65-69,Local,East of England,1345,11886,13231,10166,9656,10693,heart,2014
1,70-74,Local,East of England,1348,7849,9197,14657,13940,15396,heart,2014
1,75-79,Local,East of England,1621,6590,8211,19742,18886,20620,heart,2014
1,80-84,Local,East of England,1638,4864,6502,25192,24141,26266,heart,2014
1,85-89,Local,East of England,1143,2932,4075,28049,26674,29456,heart,2014
1,90-99,Local,East of England,696,1701,2397,29036,27225,30899,heart,2014
1,<=9,Local,South West,44,28971,29015,152,110,204,heart,2014
1,10-14,Local,South West,27,17579,17606,153,101,223,heart,2014
1,15-19,Local,South West,27,19302,19329,140,92,203,heart,2014
1,20-24,Local,South West,42,24318,24360,172,124,233,heart,2014
1,25-29,Local,South West,42,20634,20676,203,146,274,heart,2014
1,30-34,Local,South West,38,20671,20709,183,130,252,heart,2014
1,35-39,Local,South West,65,19551,19616,331,256,422,heart,2014
1,40-44,Local,South West,145,22693,22838,635,536,747,heart,2014
1,45-49,Local,South West,337,24910,25247,1335,1197,1484,heart,2014
1,50-54,Local,South West,610,23576,24186,2522,2328,2728,heart,2014
1,55-59,Local,South West,1009,20316,21325,4732,4450,5025,heart,2014
1,60-64,Local,South West,1441,19080,20521,7022,6676,7380,heart,2014
1,65-69,Local,South West,2197,18971,21168,10379,9971,10798,heart,2014
1,70-74,Local,South West,2308,13501,15809,14599,14052,15159,heart,2014
1,75-79,Local,South West,2602,10195,12797,20333,19638,21041,heart,2014
1,80-84,Local,South West,2534,7488,10022,25284,24436,26147,heart,2014
1,85-89,Local,South West,1872,4631,6503,28787,27688,29904,heart,2014
1,90-99,Local,South West,1114,2948,4062,27425,26057,28825,heart,2014
1,<=9,Local,South Central,66,47429,47495,139,107,177,heart,2014
1,10-14,Local,South Central,36,29746,29782,121,85,167,heart,2014
1,15-19,Local,South Central,41,27708,27749,148,106,200,heart,2014
1,20-24,Local,South Central,34,24069,24103,141,98,197,heart,2014
1,25-29,Local,South Central,47,27405,27452,171,126,228,heart,2014
1,30-34,Local,South Central,58,30742,30800,188,143,243,heart,2014
1,35-39,Local,South Central,75,32217,32292,232,183,291,heart,2014
1,40-44,Local,South Central,164,37366,37530,437,373,509,heart,2014
1,45-49,Local,South Central,364,39452,39816,914,823,1013,heart,2014
1,50-54,Local,South Central,729,35775,36504,1997,1856,2146,heart,2014
1,55-59,Local,South Central,1087,29688,30775,3532,3329,3744,heart,2014
1,60-64,Local,South Central,1645,26769,28414,5789,5521,6067,heart,2014
1,65-69,Local,South Central,2673,26978,29651,9015,8691,9347,heart,2014
1,70-74,Local,South Central,2921,18278,21199,13779,13318,14250,heart,2014
1,75-79,Local,South Central,3116,13783,16899,18439,17857,19032,heart,2014
1,80-84,Local,South Central,3097,9754,12851,24099,23362,24848,heart,2014
1,85-89,Local,South Central,2120,5837,7957,26643,25674,27629,heart,2014
1,90-99,Local,South Central,1333,3555,4888,27271,26026,28543,heart,2014
1,<=9,Local,London,79,53753,53832,147,116,183,heart,2014
1,10-14,Local,London,40,30351,30391,132,94,179,heart,2014
1,15-19,Local,London,33,27910,27943,118,81,166,heart,2014
1,20-24,Local,London,30,28994,29024,103,70,148,heart,2014
1,25-29,Local,London,39,36721,36760,106,75,145,heart,2014
1,30-34,Local,London,51,41917,41968,122,90,160,heart,2014
1,35-39,Local,London,77,40369,40446,190,150,238,heart,2014
1,40-44,Local,London,224,40298,40522,553,483,630,heart,2014
1,45-49,Local,London,393,39964,40357,974,880,1074,heart,2014
1,50-54,Local,London,811,34986,35797,2266,2114,2425,heart,2014
1,55-59,Local,London,1139,27511,28650,3976,3752,4208,heart,2014
1,60-64,Local,London,1544,21959,23503,6569,6256,6894,heart,2014
1,65-69,Local,London,2176,19741,21917,9928,9536,10332,heart,2014
1,70-74,Local,London,2257,13396,15653,14419,13872,14979,heart,2014
1,75-79,Local,London,2618,10790,13408,19526,18858,20207,heart,2014
1,80-84,Local,London,2454,7941,10395,23608,22794,24436,heart,2014
1,85-89,Local,London,1669,4712,6381,26156,25081,27253,heart,2014
1,90-99,Local,London,980,2745,3725,26309,24900,27754,heart,2014
1,<=9,Local,South East Coast,50,46977,47027,106,79,140,heart,2014
1,10-14,Local,South East Coast,46,29203,29249,157,115,210,heart,2014
1,15-19,Local,South East Coast,37,26703,26740,138,97,191,heart,2014
